Full author list,First Author(s) & Year,Article Title,Application/Technology,Tech Used,Drone type,is_ag,DOI Link,Abstract,Country(ies),Tools,SEA_status,Section_relevance,In_manuscript
Hu Q et al.,Hu et al. (2024),AI-enabled early pest and disease detection in precision agriculture,Pest/disease detection with AI,ML/DL; Drone; Satellite,,1,,"AI methods for pest detection, disease management, yield prediction.",Global,,Background (keep),2.1 Remote Sensing,Yes
Huynh HX et al.,Huynh et al. (2023),Smart greenhouse construction and irrigation control for Brassica,Smart greenhouse IoT system,Sensors; IoT,,1,10.1371/journal.pone.0292971,IoT-based smart greenhouse for optimal vegetable crop development.,Vietnam,,SEA,2.2 IoT; 3.2 Controlled Env,Yes
IPCC,Intergovernmental Panel on Climate Change (2023),AR6 Synthesis Report: Climate Change 2023,Climate change impacts on agriculture,NA (Report),,1,,"Sixth Assessment Report on climate change, food security impacts.",Global,,Background (keep),Intro/Background,Yes
Joochim O et al.,Joochim et al. (2023),Automated Greenhouse for Plant Phenotyping Using Image Processing,Automated greenhouse phenotyping,Sensors; IoT; Imaging,,1,https://doi.org/10.1145/3625343.3625352,Automated greenhouse system for plant phenotyping in Thailand.,Thailand,,SEA,2.2 IoT; 2.3 Robotics; 3.1 HTP/Phenotyping; 3.2 Controlled Env,Yes
Kearney J & EDBS,Kearney (2020),Singapore's digital agriculture strategy and smart farming investments,Digital agriculture policy SEA,NA (Policy),,1,,Singapore digital agriculture policy and technology investment framework.,Singapore,,SEA,Intro/Background,Yes
Kim JY,Kim (2020),Roadmap to High Throughput Phenotyping for Plant Breeding,HTP roadmap for breeding,NA (Review),,1,10.1007/s42853-020-00043-0,Roadmap for adopting HTP in plant breeding programs.,Global,,Background (keep),3.1 HTP/Phenotyping; Intro/Background,Yes
Kim M et al.,Kim et al. (2021),High-Throughput Phenotyping for Breeding Drought-Tolerant Crops,HTP for drought tolerance,NA (Review),,1,10.3390/ijms22158266,Review of HTP methods for identifying drought tolerance in breeding.,Global,,Background (keep),3.1 HTP/Phenotyping; Intro/Background,Yes
Krishner Macayana YL et al.,Krishner Macayana et al. (2023),IoT-based indoor smart hydroponics farm monitoring system,Smart hydroponic IoT monitoring,Sensors; IoT,,1,10.11591/ijece.v13i2.pp2326-2339,IoT monitoring system for indoor hydroponics in Philippines.,Philippines,,SEA,2.2 IoT; 3.2 Controlled Env,Yes
Lim CJ et al.,Lim et al. (2024),Laser-induced breakdown spectroscopy for nutrient monitoring in hydroponics,Nutrient monitoring in hydroponics,Sensors (Proximal),,1,https://doi.org/10.1186/s40538-024-00641-6,Precise nutrient monitoring using spectroscopy in Singapore indoor farms.,Singapore,,SEA,2.2 IoT; 2.3 Robotics; 3.2 Controlled Env,Yes
Manzoor S et al.,Manzoor et al. (2025),Digital agriculture adoption barriers in Southeast Asia,Digital ag adoption barriers in SEA,NA (Review),,1,,"Regional analysis of infrastructure, policy, and capacity barriers in SEA.",Southeast Asia,,SEA,4/5 Practical/Adoption; Intro/Background,Yes
Mas FAR et al.,Mas et al. (2022),Smart Greenhouse Monitoring IoT for Orchid Plants,Smart greenhouse IoT for orchids,Sensors; IoT,,1,10.23960/jemit.v3i3.111,IoT-based greenhouse monitoring for orchid cultivation in Indonesia.,Indonesia,,SEA,2.2 IoT; 3.2 Controlled Env,Yes
Minh Khanh L et al.,Minh Khanh et al. (2024),UAV hyperspectral image acquisition for rice nutrient estimation,UAV hyperspectral rice nutrient,Drone; Sensors (Hyperspectral),,1,10.15625/2615-9783/21306,UAV hyperspectral imaging for nutrient estimation in Vietnamese rice.,Vietnam,,SEA,2.1 Remote Sensing; 2.2 IoT,Yes
Omotayo AO et al.,Omotayo et al. (2025),Capacity building for AI adoption in smallholder farming,Capacity building for AI in agriculture,NA (Review),,1,,"Training, extension, and knowledge-transfer approaches for AI adoption.",Global,,Background (keep),4/5 Practical/Adoption; Intro/Background,Yes
Raj M & Prahadeeswaran M,Raj (2025),Revolutionizing agriculture: review of smart farming technologies,Smart farming technologies review,NA (Review),,1,10.1007/s42452-025-07561-6,Review of smart farming technologies for sustainable future.,Global,,Background (keep),2.2 IoT; 2.3 Robotics; Intro/Background,Yes
Rijswijk K et al.,Rijswijk et al. (2021),Digital technologies for smallholder farmers: global overview,Digital tech for smallholders,NA (Review),,1,,Overview of digital tools used by smallholder farmers globally.,Global (Multiple),,Background (keep),2.3 Robotics; 4/5 Practical/Adoption; Intro/Background,Yes
Ryan SF,Ryan (2023),Capacity building and policy support for AI in developing countries,AI capacity building policy,NA (Review),,1,,Policy frameworks and training for sustainable AI adoption.,Global,,Background (keep),4/5 Practical/Adoption; Intro/Background,Yes
Sadikin NANB et al.,Sadikin et al. (2023),Smart Rooftop Farming Using IoT and Mobile App in Brunei,Smart rooftop farm IoT,Sensors; IoT,,1,https://doi.org/10.1109/IICAIET59451.2023.10291903,IoT-enabled smart rooftop farming system in Brunei.,Brunei,,SEA,2.2 IoT; 2.3 Robotics; 3.2 Controlled Env,Yes
Sah P et al.,Sah et al. (2023a),Paddy field mapping for food security in Mekong region,Paddy field mapping for food security,Satellite,,1,,Satellite-based paddy field mapping supporting food security planning.,Vietnam,,SEA,2.1 Remote Sensing; Intro/Background,Yes
Sah P et al.,Sah et al. (2023b),Rice paddy mapping under sea level rise threat,Paddy mapping under sea level rise,Satellite,,1,,Remote sensing for rice paddy mapping under climate-driven sea level rise.,Vietnam,,SEA,2.1 Remote Sensing,Yes
Sangjan W et al.,Sangjan et al. (2025),AI and sensor integration for crop monitoring in the Pacific Northwest,AI-sensor integration for crop monitoring,Sensors; ML/DL; Drone,,1,,Integration of AI and sensors for precision agriculture monitoring (Worasit's paper).,United States,,Check manually,2.1 Remote Sensing; 2.2 IoT,Yes
Shamshiri RR et al.,Shamshiri et al. (2024),AI and robotics in greenhouse and controlled environment agriculture,AI robotics in controlled environments,NA (Review),,1,,Review of AI and robotic systems for greenhouse and controlled environment agriculture.,Global,,Background (keep),2.3 Robotics; 3.2 Controlled Env; Intro/Background,Yes
Som-ard J et al.,Som-ard et al. (2018),Pre-harvest Sugarcane Yield Estimation Using UAV RGB Images,Sugarcane yield estimation UAV,Drone,,1,10.1007/s12355-018-0601-7,UAV-based RGB imaging for pre-harvest sugarcane yield estimation in Thailand.,Thailand,,SEA,2.1 Remote Sensing; 2.3 Robotics,Yes
Thamoonlest T et al.,Thamoonlest et al. (2025),UAV and ML for sugarcane gap detection and yield estimation in Thailand,Sugarcane gap detection and yield,Drone; ML/DL,,1,,UAV sensing and machine learning for sugarcane management in Thailand.,Thailand,,SEA,2.1 Remote Sensing; 2.4 AI Models,Yes
Theerawitaya C et al.,Theerawitaya et al. (2022),Combining HTP with growth measurements of indica rice cultivars,HTP for indica rice growth,Drone; Sensors,,1,10.34044/j.anres.2022.56.4.06,High-throughput phenotyping across whole life cycle of indica rice in Thailand.,Thailand,,SEA,2.1 Remote Sensing; 2.2 IoT; 3.1 HTP/Phenotyping,Yes
Thummarat Boonrod,Thummarat Boonrod (2024),Prototype Smart Farming System for Greenhouse using IoT,Smart farming greenhouse IoT prototype,Sensors; IoT,,1,10.14456/MIJET.2024.8,IoT-based smart farming prototype installed in a Thai greenhouse.,Thailand,,SEA,2.2 IoT; 2.3 Robotics; 3.2 Controlled Env,Yes
Thwe PP et al.,Thwe et al. (2019),GSM based automatic greenhouse controlled system,Automatic greenhouse control GSM,Sensors; IoT,,1,,GSM-based automated greenhouse control system in Myanmar.,Myanmar,,SEA,2.2 IoT; 2.3 Robotics; 3.2 Controlled Env,Yes
United Nations,United Nations (2024),World Population Prospects 2024,Global population projections,NA (Report),,1,,UN projection of world population reaching 9.7 billion by 2050.,Global,,Background (keep),Intro/Background,Yes
Yost RS et al.,Yost (2019),Reaching environmental and economic limits of conventional production,Limits of conventional production systems,NA (Review),,1,,Analysis of environmental and economic constraints on conventional farming.,Global,,Background (keep),2.3 Robotics; Intro/Background,Yes
Zhang Y,Zhang (2023),AI and machine learning in modern agriculture: review,AI/ML in agriculture review,NA (Review),,1,,Comprehensive review of AI and ML roles in modern agricultural systems.,Global,,Background (keep),Intro/Background,Yes
"Zhang, S",Zhang et al. (2025),Large-scale single tree information extraction of oil palm in Malaysia based on sub-meter visible light satellite images,Large-scale single tree information extraction of oil palm i,Satellite,,1,10.1016/j.compag.2025.110796,"The distribution of specific tree species and single tree information can scale down the research scale of geography and ecology, bridging research from regional to local scales. However, accurately extracting the spatial distribution and single tree information for a tree species regionally has alw",Malaysia,,SEA,2.1 Remote Sensing; 3.1 HTP/Phenotyping; Intro/Background,No
"Yuferev, VG",Yuferev et al. (2024),Geoinformation Monitoring of the Condition of Rice Fields in An Giang Province (Vietnam) according to Multispectral ERS Data and Field Spectroradiometering,Geoinformation Monitoring of the Condition of Rice Fields in,Satellite,,1,10.1134/S0001433825700185,"The spatial distribution of areas of territory used for agricultural work is of great importance for developing measures for managing territories and planning the rational use of land and water resources. As a result of the high development of land and its use for agricultural production, the timely",Vietnam,,SEA,2.1 Remote Sensing; 2.3 Robotics; Intro/Background,No
"Wiarta, R",Wiarta et al. (2025),"Assessing of driving factors and change detection of mangrove forest in Kubu Raya District, Indonesia",Assessing of driving factors and change detection of mangrov,Satellite,,1,10.3389/ffgc.2025.1511361,"Land cover change information is needed to support decision-making in land-based natural resource management, especially in coastal areas and mangrove ecosystems. This study aims to assess the drivers and detect mangrove forest cover change over the last 30 years in Kubu Raya District, Indonesia, us",Indonesia,,SEA,2.1 Remote Sensing,No
"Win, KS",Win et al. (2024),The Change Detection of Mangrove Forests Using Deep Learning with Medium-Resolution Satellite Imagery: A Case Study of Wunbaik Mangrove Forest in Myanmar,The Change Detection of Mangrove Forests Using Deep Learning,Satellite; ML/DL,,1,10.3390/rs16214077,"This paper presents the development of a U-Net model using four basic optical bands and SRTM data to analyze changes in mangrove forests from 1990 to 2024, with an emphasis on the impact of restoration programs. The model, which employed supervised learning for binary classification by fusing multi-",Myanmar,,SEA,2.1 Remote Sensing; 2.4 AI Models; Intro/Background,No
"Pham, VT",Pham et al. (2024),"Classifying forest cover and mapping forest fire susceptibility in Dak Nong province, Vietnam utilizing remote sensing and machine learning",Classifying forest cover and mapping forest fire susceptibil,Drone,,1,10.1016/j.ecoinf.2023.102392,"Forest fires can cause significant harm to the biodiversity, air quality, economy, and industries that depend on forests, which is particularly critical given the current climate change scenario. Therefore, it is crucial to predict potential fire risks, especially in Dak Nong, a province located in ",Vietnam,,SEA,2.1 Remote Sensing; 2.3 Robotics; 2.4 AI Models; Intro/Background,No
"Asmiwyati, IGAAR",Asmiwyati et al. (2025),"ANALYSIS OF URBAN GREEN OPEN SPACE DEVELOPMENT IN NORTH DENPASAR DISTRICT, DENPASAR CITY, BALI, INDONESIA",ANALYSIS OF URBAN GREEN OPEN SPACE DEVELOPMENT IN NORTH DENP,Satellite,,1,10.21163/GT_2025.201.07,"Denpasar City is the capital of Bali Province, Indonesia and requires the provision of high public infrastructure. The high conversion of functions that has occurred, until now has not been balanced with information on the potential of green open space and the allocation of new public RTH. The metho",Indonesia,,SEA,2.1 Remote Sensing; Intro/Background,No
"Wang, Y",Wang et al. (2023),Spatiotemporal characteristics and the national variations of borderland use change in Laos within the geopolinomical context,Spatiotemporal characteristics and the national variations o,Sensors; IoT,,1,10.3389/ffgc.2023.1223605,"Laos, the only landlocked country in Mainland Southeast Asia (MSEA), has established over 40 geopolinomical mechanisms with its neighboring countries (including China, Vietnam, Cambodia, Thailand, and Myanmar), leading to significant land-use change (LUC) in the border areas. However, the spatial ch",Vietnam,,SEA,2.2 IoT,No
"Zhang, JY",Zhang et al. (2023),Mapping of land-based aquaculture regions in Southeast Asia and its Spatiotemporal change from 1990 to 2020 using time-series remote sensing data,Mapping of land-based aquaculture regions in Southeast Asia ,Sensors; IoT,,1,10.1016/j.jag.2023.103518,"Aquaculture, a crucial component of global food production, faces sustainability challenges due to increased competition for natural resources, environmental pollution, and subpar management practices. Understanding spatial-temporal changes in aquaculture distribution can offer insights into guiding",Indonesia,,SEA,2.1 Remote Sensing; 2.2 IoT; 2.3 Robotics; 3.1 HTP/Phenotyping; Intro/Background,No
"Nurdin, N",Nurdin et al. (2023),Precision Aquaculture Drone Mapping of the Spatial Distribution of Kappaphycus alvarezii Biomass and Carrageenan,Precision Aquaculture Drone Mapping of the Spatial Distribut,Drone,,1,10.3390/rs15143674,"The aquaculture of Kappaphycus alvarezii (Kappaphycus hereafter) seaweed has rapidly expanded among coastal communities in Indonesia due to its relatively simple farming process, low capital costs and short production cycles. This species is mainly cultivated for its carrageenan content used as a ge",Indonesia,,SEA,2.1 Remote Sensing; 2.3 Robotics; 2.4 AI Models,No
"Yewle, AD",Yewle et al. (2025),Multi-modal data fusion and deep ensemble learning for accurate crop yield prediction,Multi-modal data fusion and deep ensemble learning for accur,Satellite,,1,10.1016/j.rsase.2025.101613,"This study introduces RicEns-Net, a novel deep ensemble model for rice yield prediction in the Mekong Delta region of Vietnam, integrating diverse data sources through multi-modal data fusion. The model leverages synthetic aperture radar (SAR), optical remote sensing (Sentinel-1/2/3) and meteorologi",Vietnam,,SEA,2.1 Remote Sensing; 2.4 AI Models; Intro/Background,No
"Chen, DL",Chen et al. (2024),A method for fast detection of wind farms from remote sensing images using deep learning and geospatial analysis,A method for fast detection of wind farms from remote sensin,Satellite; ML/DL,,1,10.1515/geo-2022-0645,"The wind power industry is increasing worldwide every year. Thus, obtaining timely and detailed information on wind farms' number and spatial distribution is critical for quantitatively estimating wind energy utilization and for planning the construction of new wind farms. Therefore, this study prop",Vietnam,,SEA,2.1 Remote Sensing; 2.3 Robotics; 2.4 AI Models; Intro/Background,No
"Wijayanto, AK",Wijayanto et al. (2024),Textural features for BLB disease damage assessment in paddy fields using drone data and machine learning: Enhancing disease detection accuracy,Textural features for BLB disease damage assessment in paddy,Drone,,1,10.1016/j.atech.2024.100498,"Detecting Bacterial Leaf Blight (BLB) in paddy fields is a critical challenge in Indonesia, where the disease poses a significant threat to rice production by reducing the photosynthetic ability and ultimately compromising plant productivity. This study explored the effectiveness of using drone-acqu",Indonesia,,SEA,2.1 Remote Sensing; 2.4 AI Models; Intro/Background,No
"Virtriana, R",Virtriana et al. (2025),"Effects of extreme climate on agriculture in paddy field area in West Java Province (Indonesia) using multitemporal scenarios, GIS, and remote sensing",Effects of extreme climate on agriculture in paddy field are,Satellite,,1,10.1080/19475705.2025.2455487,One of the factors of decreased productivity of rice fields is the agricultural hazards that occur in Indonesia due to climate and weather changes. One way to reduce the impact is by providing a need for information on areas affected by agricultural hazards so that it can be used for decision making,Indonesia,,SEA,2.1 Remote Sensing; Intro/Background,No
"Yue, ZL",Yue et al. (2025),A meta-review of remote sensing for rubber plantations,A meta-review of remote sensing for rubber plantations,Satellite; ML/DL,,1,10.1016/j.jag.2025.104625,"The rapid expansion of rubber plantations has led to significant ecological impacts, including deforestation and reduced carbon storage capacity, such as rubber-induced 4.1 million ha of forest loss in Southeast Asia (SEA). Remote sensing, essential for monitoring rubber expansion and supporting ini",Southeast Asia,,SEA,2.1 Remote Sensing; 2.4 AI Models; Intro/Background,No
"Khiem, NM",Khiem et al. (2023),"Use of GIS and machine learning to pre- dict disease in shrimp farmed on the east coast of the Mekong Delta, Vietnam",Use of GIS and machine learning to pre- dict disease in shri,Satellite,,1,,,Vietnam,,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
"Zhai, JH",Zhai et al. (2023),Are there suitable global datasets for monitoring of land use and land cover in the tropics? Evidences from mainland Southeast Asia,Are there suitable global datasets for monitoring of land us,Satellite,,1,10.1016/j.gloplacha.2023.104233,"The freely available Land Use and Land Cover (LULC) datasets are effective tool for tracking land surface changes, ecosystem dynamics, and carbon cycle. However, the issue of the uncertainly, applicability, and limitations of LULC data products is always a challenge and varies distinctively worldwid",Vietnam,,SEA,2.1 Remote Sensing; Intro/Background,No
"Zhorif, NN",Zhorif et al. (2024),Implementation of Slicing Aided Hyper Inference (SAHI) in YOLOv8 to Counting Oil Palm Trees Using High-Resolution Aerial Imagery Data,Implementation of Slicing Aided Hyper Inference (SAHI) in YO,Drone; ML/DL,,1,,"Palm oil is a commodity that contributes significantly to Indonesia's national economic growth, with a total plantation area of 116,000 hectares. By 2023, Indonesia is projected to produce approximately 47 million metric tons of palm oil. One of the major challenges in the manual counting of oil pal",Indonesia,,SEA,2.1 Remote Sensing; 2.4 AI Models; Intro/Background,No
"Lumabao, JPD",Lumabao et al. (2024),An antimicrobial resistance gene situationer in the backyard swine industry of a Philippine City,An antimicrobial resistance gene situationer in the backyard,Satellite,,1,10.1038/s41598-024-77124-z,"Antimicrobial resistance (AMR) as a result of antimicrobial overuse and misuse in agriculture is a growing concern, especially in the predominant but poorly regulated backyard or smallholder swine farms of the Philippines. A city-scale surveillance of antimicrobial resistance genes (ARGs) was conduc",Philippines,,SEA,2.1 Remote Sensing; 2.3 Robotics; 4/5 Practical/Adoption,No
"Xiong, JP",Xiong et al. (2025),Asymmetry between ecosystem health and ecological quality from an Earth observation perspective,Asymmetry between ecosystem health and ecological quality fr,Satellite,,1,10.1038/s41598-025-94717-4,"Ecological quality (EQ) and ecosystem health (EH) are closely related. Previous studies haven't addressed their spatial relationships fully; therefore, whether there is spatial consistency between the two remains unclear. In this study, the EQ and EH of the Mekong River Basin (MRB), located in South",Southeast Asia,,SEA,2.1 Remote Sensing,No
"Yoh, N",Yoh et al. (2023),Benign effects of logging on aerial insectivorous bats in Southeast Asia revealed by remote sensing technologies,Benign effects of logging on aerial insectivorous bats in So,Satellite,,1,10.1111/1365-2664.14398,"1.Logging is the most widespread disturbance in tropical forests, altering ecological communities and functions. However, many species can persist in logged forests, particularly where disturbance is low. Despite a growing understanding of how logging affects wildlife, there remains little informati",Southeast Asia,,SEA,2.1 Remote Sensing; 2.3 Robotics; 3.1 HTP/Phenotyping; Intro/Background,No
"Viet, LV",Viet et al. (2024),"Drought sensitivity analysis of meteorological and vegetation indices in Dak Nong, Vietnam",Drought sensitivity analysis of meteorological and vegetatio,Satellite,,1,10.2166/wcc.2024.661,"Drought poses an increasing threat to agricultural sustainability in Dak Nong, Vietnam. This study investigates the sensitivity of meteorological and vegetation indices (VIs) to drought conditions in the region. We analyzed 23 years (2000-2022) of data from 11 meteorological stations and remote sens",Vietnam,,SEA,2.1 Remote Sensing; 2.3 Robotics; 4/5 Practical/Adoption,No
"Xiao, CW",Xiao et al. (2024),Impact of cross-border transportation corridors on changes of land use and landscape pattern: A case study of the China-Laos railway,Impact of cross-border transportation corridors on changes o,Satellite,,1,10.1016/j.landurbplan.2023.104924,"Regional integration initiatives have triggered impacts on land use changes (LUC) and landscape patterns through geo-economic cooperation like cross-border infrastructure, which are often presented, but comprehensive studies on the extent and degree remains insufficient. The China-Laos Railway (CLR)",Laos,,SEA,2.1 Remote Sensing,No
"Wang, YX",Wang et al. (2023),High-resolution maps show that rubber causes substantial deforestation,High-resolution maps show that rubber causes substantial def,Satellite,,1,10.1038/s41586-023-06642-z,"Understanding the effects of cash crop expansion on natural forest is of fundamental importance. However, for most crops there are no remotely sensed global maps, and global deforestation impacts are estimated using models and extrapolations. Natural rubber is an example of a principal commodity for",Southeast Asia,,SEA,2.1 Remote Sensing; Intro/Background,No
"Worachairungreung, M",Worachairungreung et al. (2023),A STUDY ON OIL PALM CLASSIFICATION FOR RANONG PROVINCE USING DATA FUSION AND MACHINE LEARNING ALGORITHMS,A STUDY ON OIL PALM CLASSIFICATION FOR RANONG PROVINCE USING,Satellite,,1,10.21163/GT_2023.181.12,"Oil palm is a vital force in driving the energy business. In 2020, Thailand had 9,954.27 sq.km. (around 6,220,799 Rai) of oil palm plantations, ranking third in the world after Indonesia and Malaysia. Ranong has the highest oil palm crop yield per Rai in Thailand. Notwithstanding, it is challenging ",Indonesia,,SEA,2.1 Remote Sensing; 2.4 AI Models,No
"Nguyen, DN",Nguyen et al. (2024),Detection and mitigation of soil salinization risk from saline/brackish water aquaculture in coastal areas: an application of remote sensing and managed aquifer recharge,Detection and mitigation of soil salinization risk from sali,Satellite,,1,10.1007/s11852-024-01067-w,This study focuses on detecting and mitigating soil salinization in four coastal areas of the Mekong Delta (Vietnam). Salinity patterns in the soils of the Mekong River Delta are not random but linked to land use practices and distance to the sea. We examine two quick yet reliable remote sensing-bas,Vietnam,,SEA,2.1 Remote Sensing; 2.3 Robotics; Intro/Background,No
"Wikantika, K",Wikantika et al. (2023),"A Study on the Distribution Pattern of Banana Blood Disease (BBD) and Fusarium Wilt Using Multispectral Aerial Photos and a Handheld Spectrometer in Subang, Indonesia",A Study on the Distribution Pattern of Banana Blood Disease ,Drone,,1,10.3390/d15101046,"Knowledge of the health of banana trees is critical for farmers in order to profit from banana cultivation. Fusarium wilt and banana blood disease (BBD), two significant diseases that infect banana trees, are caused by Fusarium oxysporum and Ralstonia syzygii, respectively. They have caused a declin",Indonesia,,SEA,2.1 Remote Sensing; 2.3 Robotics; 2.4 AI Models; 3.1 HTP/Phenotyping; 4/5 Practical/Adoption,No
"Zahidi, I",Zahidi et al. (2024),Modelling public social values of flood-prone land use using the GIS application SolVES,Modelling public social values of flood-prone land use using,Satellite,,1,10.2166/hydro.2023.010,"Social values of land use are often excluded when undertaking integrated flood management as they are harder to quantify. To fill this research gap, a geographic information system application called Social Values for Ecosystem Services was used to assess, map and quantify the perceived social value",Malaysia,,SEA,2.1 Remote Sensing; 2.3 Robotics; 4/5 Practical/Adoption,No
"Quang, NH",Quang et al. (2025),Modelling sea and brackish water quality of Ha Long City (Vietnam) using machine learning and remote sensing techniques,Modelling sea and brackish water quality of Ha Long City (Vi,Satellite,,1,10.1016/j.asr.2024.12.065,"Water is the source of life on Earth and is therefore important in all aspects. However, water can be polluted from many sources such as industrial and domestic waste, agriculture disposals, and tourism. Ha Long, in Vietnam, is a UNESCO World Heritage Site, wellknown for its unique natural scenery o",Vietnam,,SEA,2.1 Remote Sensing; 2.4 AI Models,No
"Xiao, CW",Xiao et al. (2025),Patterns and drivers of population in the borderlands of Mainland Southeast Asia,Patterns and drivers of population in the borderlands of Mai,Satellite,,1,10.1016/j.habitatint.2025.103321,"Population concentration is a visible manifestation of the spatial pattern of demographic distribution, exerting significant impacts on local socio-economic and natural environment. Currently, population-analysis mainly focuses on administrative units, with limited attention given to borderlands cha",Cambodia,,SEA,2.1 Remote Sensing,No
"Zulkifli, M",Zulkifli et al. (2023),GEOSTATISTICAL ASSESSMENT OF HEAVY METALS AND NUTRIENTS AVAILABILITY IN SOIL OF OIL PALM PLANTATION AFFECTED BY BAUXITE MINING,GEOSTATISTICAL ASSESSMENT OF HEAVY METALS AND NUTRIENTS AVAI,Satellite,,1,10.21894/jopr.2022.0079,"This study describes the contamination of heavy metals (Cu, Zn, Mn, Pb and Fe) and their effect on K, Ca and Mg availability in oil palm cultivated areas affected by bauxite mining activities using the combinations of geostatistic and geospatial analysis. A total of 64 soil samples were collected co",Malaysia,,SEA,2.1 Remote Sensing,No
"Yu, EG",Yu et al. (2024),"Assess the Impact of Climate Change on Agricultural Productivity Using GES DISC Data on Temperature, Precipitation, and Drought Indices",Assess the Impact of Climate Change on Agricultural Producti,Satellite,,1,10.1109/Agro-Geoinformatics262780.2024.10661069,"In the face of global climate change, agricultural productivity is increasingly under threat, with changes in temperature, precipitation, and drought conditions significantly impacting crop yields and food security. This study presents a comprehensive regional-level analysis, leveraging rich dataset",Southeast Asia,,SEA,2.1 Remote Sensing; 2.4 AI Models; Intro/Background,No
"Zhang, JJ",Zhang et al. (2025),"Monitoring of ecological security patterns based on long-term land use changes in Langsa Bay, Indonesia",Monitoring of ecological security patterns based on long-ter,Satellite,,1,10.1080/17538947.2025.2495740,"Southeast Asian coastal zone boasts a concentration of land and marine resources with vulnerable habitats, especially in highly artificial bays. Yet systematic studies on their ecological security assessment are lacking. To investigate the dynamic relationship between land use and ecological securit",Indonesia,,SEA,2.1 Remote Sensing; Intro/Background,No
"Zachlod, N",Zachlod et al. (2025),Sustainable palm oil certification inadvertently affects production efficiency in Malaysia,Sustainable palm oil certification inadvertently affects pro,Satellite,,1,10.1038/s43247-025-02150-2,"Sustainability certifications have rapidly gained prominence and become standards across many industries, yet knowledge about the potential unintended consequences of their criteria remains limited. Here, we use European Space Agency multispectral imagery satellite data in combination with economic ",Malaysia,,SEA,2.1 Remote Sensing,No
"Cabangbang-Jaranilla, JT",Cabangbang-Jaranilla et al. (2025),Decreasing suitable coffee cultivation areas under climate change in the Philippines,Decreasing suitable coffee cultivation areas under climate c,Satellite,,1,10.1007/s10113-025-02398-6,"Climate change threatens food security and crop yield, negatively affecting the coffee industry in the Philippines for the last decade. Herein, species distribution modeling was implemented to map the potentially suitable habitats for cultivating the three topmost coffee crops (Coffea arabica, C. li",Philippines,,SEA,2.1 Remote Sensing; Intro/Background,No
"Suwanlee, SR",Suwanlee et al. (2025),Mapping sugarcane plantations in Northeast Thailand using multi-temporal data from multi-sensors and machine-learning algorithms,Mapping sugarcane plantations in Northeast Thailand using mu,Sensors; IoT,,1,10.1080/20964471.2025.2463730,"The effectiveness of machine learning algorithms and the limited reference data introduce uncertainness for sugarcane classification. To address these problems, our study classified sugarcane plantations at the field scale using multi-temporal and multi-sensor data together with a large number of gr",Thailand,,SEA,2.2 IoT; 2.4 AI Models,No
"Nguyen, AH",Nguyen et al. (2024),"Assessing groundwater vulnerability and addressing salinization in the coastal region of Ba Ria-Vung Tau province, Vietnam: an enhanced DRASTIC model approach",Assessing groundwater vulnerability and addressing salinizat,Satellite,,1,10.1007/s12665-023-11343-x,"For coastal areas, groundwater aquifers' salinization has intensified due to multiple reasons, e.g., climate changes, continuous groundwater exploitation, and other anthropogenic activities. In Ba Ria-Vung Tau province, the Pleistocene aquifer is an essential source of water supply for drinking, agr",Vietnam,,SEA,2.1 Remote Sensing,No
"Nguyen, CT",Nguyen et al. (2023),A regional assessment of ecological environment quality in Thailand special economic zone: Spatial heterogeneous influences and future prediction,A regional assessment of ecological environment quality in T,Satellite,,1,10.1002/ldr.4876,"Eastern Economic Corridor is a development plan under the Thailand 4.0 scheme to revitalize the economy. However, it has influenced the environment through numerous infrastructural and industrial projects. The ecological environment is the most fragile component since it is susceptible to land use, ",Thailand,,SEA,2.1 Remote Sensing; Intro/Background,No
"Basyuni, M",Basyuni et al. (2023),Aboveground biomass and carbon stock estimation using UAV photogrammetry in Indonesian mangroves and other competing land uses,Aboveground biomass and carbon stock estimation using UAV ph,Drone,,1,10.1016/j.ecoinf.2023.102227,"Mangrove ecosystem is one of coastal wetlands that have experienced significant anthropogenic driven degradation and conversion, which have resulted in substantial carbon releases to the atmosphere and the oceans. However, carbon stock assessments and monitoring for mangroves are mostly confined to ",Indonesia,,SEA,2.1 Remote Sensing; 3.1 HTP/Phenotyping; Intro/Background,No
"Potipat, J",Potipat et al. (2024),"Microplastic contamination in the Chanthaburi estuarine ecosystem, Eastern part of Thailand",Microplastic contamination in the Chanthaburi estuarine ecos,Satellite,,1,10.22438/jeb/45/2/MRN-5201,Aim: The prevalence of plastic particles has become a global crisis for the environment pollution and human life. This study aimed to investigate the contamination of microplastics (MPs) in marine environments and to determine the relationships between MPs pollution and types of land use. Methodolog,Thailand,,SEA,2.1 Remote Sensing; Intro/Background,No
"Irianto, K.D.",Irianto (2022),Design of Smart Farm Irrigation Monitoring System Using IoT and LoRA,Smart farm irrigation monitoring using IoT and LoRa communication,"IoT, LoRa, soil moisture sensor, water-level sensor",,Yes,https://doi.org/10.29207/resti.v6i1.3707,"Designs a smart irrigation monitoring system using IoT and LoRa for Indonesian farms in areas without GSM/internet access. LoRa transmits sensor data (soil moisture, water level, water discharge) to a Smartfarm web app accessible via smartphone. Addresses uneven water distribution and manual irrigation labor.",Indonesia,"LoRa, ESP32, Smartfarm web app",SEA_CORE,2.2 IoT,No
